bookID,title,authors,ratings_count
41865,Twilight (Twilight  #1),Stephenie Meyer,4597666
5907,The Hobbit  or There and Back Again,J.R.R. Tolkien,2530894
5107,The Catcher in the Rye,J.D. Salinger,2457092
960,Angels & Demons (Robert Langdon  #1),Dan Brown,2418736
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,2339585
15881,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,2293963
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,2153167
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,2128944
7613,Animal Farm,George Orwell/Boris Grabnar/Peter Škerl,2111750
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,2095690
